accuracy: 0.012099341965612397	precision: 0.0012409726803655023	recall: 0.012099341965612397	f1: 0.0018089699230123912	average_val_loss: 6.358063407846399	average_train_loss: 5.6176033416204705
accuracy: 0.026533644661430694	precision: 0.02219715891997212	recall: 0.026533644661430694	f1: 0.009841841185687315	average_val_loss: 5.7788635653418465	average_train_loss: 5.565674398348664
accuracy: 0.024198683931224794	precision: 0.017299285719465964	recall: 0.024198683931224794	f1: 0.01325615336764058	average_val_loss: 5.851587753038149	average_train_loss: 5.531045548639948
accuracy: 0.06452982381659945	precision: 0.053305719581337854	recall: 0.06452982381659945	f1: 0.039627826980841115	average_val_loss: 5.799024981421393	average_train_loss: 5.495524093729806
accuracy: 0.09637019741031629	precision: 0.08388621487875951	recall: 0.09637019741031629	f1: 0.06529072457736156	average_val_loss: 5.376698281313922	average_train_loss: 5.454182433799041
accuracy: 0.10401188707280833	precision: 0.11920479227788398	recall: 0.10401188707280833	f1: 0.07715772656414233	average_val_loss: 5.254388377473161	average_train_loss: 5.4107620779767585
accuracy: 0.09721927403948206	precision: 0.17563671823748728	recall: 0.09721927403948206	f1: 0.08031602848060854	average_val_loss: 5.366652524149096	average_train_loss: 5.37522503459489
accuracy: 0.12757376353215877	precision: 0.17732972210447137	recall: 0.12757376353215877	f1: 0.11095394342650726	average_val_loss: 5.174928504067498	average_train_loss: 5.323256550627575
accuracy: 0.15644236892379537	precision: 0.2285519815730395	recall: 0.15644236892379537	f1: 0.14183900296018817	average_val_loss: 4.992117185850401	average_train_loss: 5.25968623373558
accuracy: 0.17087667161961367	precision: 0.24299861559755911	recall: 0.17087667161961367	f1: 0.14373244156601983	average_val_loss: 4.95439524263949	average_train_loss: 5.195215704886779
accuracy: 0.2054765442581193	precision: 0.23951289964670083	recall: 0.2054765442581193	f1: 0.1684021046887579	average_val_loss: 4.7031788374926595	average_train_loss: 5.126145471804927
accuracy: 0.23307153470600722	precision: 0.2950255887926431	recall: 0.23307153470600722	f1: 0.20542210455426077	average_val_loss: 4.54232588652018	average_train_loss: 5.0048907475230955
accuracy: 0.24432180004245382	precision: 0.2957159723393172	recall: 0.24432180004245382	f1: 0.21387919094582147	average_val_loss: 4.443361092258144	average_train_loss: 4.955341607951269
accuracy: 0.26066652515389516	precision: 0.3284223301555089	recall: 0.26066652515389516	f1: 0.2397972188207411	average_val_loss: 4.380025873313079	average_train_loss: 4.914313239938074
accuracy: 0.2901719380174061	precision: 0.3332740839684924	recall: 0.2901719380174061	f1: 0.2641076050244985	average_val_loss: 4.1958221068253385	average_train_loss: 4.815743789474759
accuracy: 0.31203566121842496	precision: 0.3684645670332697	recall: 0.31203566121842496	f1: 0.2827650023941005	average_val_loss: 4.0754259567002995	average_train_loss: 4.778897100103361
